"","Name","Position","1B_total","2B_total","3B_total","HR_total","BB_total","SO_total","RBI_total","SB_total","R_total","H_total","FPTS"
"93","Andruw Musett","C/1B",8.79061348585483,1.91402868971096,0.00033615666374502,0.868773235942591,9.20165148843332,18.6411304205313,5.60775599814229,0.000880794541285928,5.19741675277638,11.5737515681721,31.4071985403113
"94","Andrés Chaparro","1B/3B",39.4869759577781,12.9241280815624,0.459446992599966,10.0802002538655,48.5938630879075,71.3798952074817,36.5169664787554,1.22856311874627,30.8443183854933,62.950751285806,230.14582946129
"95","Andrés Giménez","SS",88.2181659515295,22.7495575766422,1.91857308915979,10.9156225837468,66.2619069141939,96.5596647239207,54.310725269297,20.6481800932558,63.2802286170151,123.801919201078,472.418798365084
"96","Andy Garriola","LF/RF/CF",7.00212066957953,2.71168597077155,0.156200406744964,1.73684772727797,6.81698301419313,20.9008556935618,7.25636975365021,0.689028124116374,6.70410424542562,11.606854774374,36.8038407188479
"97","Andy Ibáñez","INF",31.8837834845019,10.470217833533,0.47533191178258,5.10168291495537,29.7966520135685,42.2147000151894,23.4832415290393,3.06116504375137,23.5190637501551,47.9310161447729,178.367749144039
"98","Andy Lugo","1B/3B/LF",7.81770878942715,3.02998487832026,0.312115080325744,0.695481091136939,6.13675653669006,15.334877408314,5.44424380680806,1.37774633904229,5.69990098613187,11.8552898392101,38.4935415536811
"99","Andy Pages","CF",79.3663183740355,27.8513985468236,1.47318941330059,23.2025052014471,73.4409863094615,124.677563280156,77.2060639510788,9.04564813282126,72.1419556241671,131.893411535607,529.801632012498
"100","Andy Perez","SS/3B",15.1291489339862,3.98471551294998,0.623944427487305,1.21482514871031,5.79011821190985,19.1460243083318,8.73516144487193,2.06546958235676,9.88015479654827,20.9526340231338,73.2697433989022
"101","Andy Weber","2B/SS/3B",12.3680052594129,2.71193510279618,0.468601220234891,0.695115082056973,9.54099610802859,16.5444646567187,6.59652411316228,0.345003392358901,8.37612110834602,16.2436566645009,53.2386367400881
"102","Andy Yerzy","C/1B",4.24074007941851,0.95981292793214,0.156183598911776,0.697311136536769,6.14555477298939,12.2151916010016,2.9775047970479,0.173292780165606,2.69057997204382,6.0540477427992,15.1524427120193
"103","Aneudis Mordán",NA,4.2415354388914,1.4366633723961,0.000285733164183267,0.695847100216905,4.43951012354347,12.213263937283,3.30413588140229,0.00141905787207177,3.19023130985468,6.37433164466859,16.9302933852269
"104","Angel Genao","SS",11.3933913862456,2.87261256632159,0.468248255737959,1.04139990969376,9.20017966451707,14.4552154973828,6.92566888674144,1.03339538708435,8.71086638211652,15.7756521179989,56.474980319435
"105","Angel Martínez","INF/OF",41.4870247025441,13.1402731051351,1.28232409380409,6.32482860486866,37.4102506884066,63.1691725513753,29.0368128139387,4.7936527149908,31.8906126238096,62.234450506352,223.934664227769
"106","Angel Mateo","RF/LF/CF",11.3896515044688,3.34715438735733,0.156133175412215,1.38861639680682,8.51700953918152,20.54802709733,8.73451164765736,1.54945695123559,8.37467209855595,16.2815554640452,54.7805499208567
"107","Angel Ortiz","RF/LF",11.3906499344454,3.50716749881706,0.623961235320492,1.21549061976479,10.2191947392471,19.8502602572062,7.9132058070391,0.344938148318806,8.04163633071755,16.7372692883478,55.062889722665
"108","Angel Tejada",NA,4.89478098719202,1.11922812253277,0.156250830244525,0.348281240800238,2.39186405783071,10.1187872153204,2.81002542271947,1.89643397580737,3.52465096344763,6.51854118076955,20.1445201943852
"109","Anthony Donofrio","RF/LF",5.21464320582279,2.71010813461557,0.000201693998247012,0.522272130213097,8.86253581922501,21.2595326254822,4.29076650558489,0.861276999640455,5.02964523117364,8.44722516464971,18.5411595181173
"110","Anthony Gutierrez","CF/RF/1B",9.92978678356803,2.23310821093684,0.000352964496932271,0.175088916652758,7.15796299369534,16.2039861771925,4.784859864341,3.96130005079326,7.20486269184012,12.3383368756546,39.5211279466345
"111","Anthony Hall",NA,5.2163523825624,1.27763018023324,0.312098272492557,0.522238856660373,6.82254323787672,15.6937667099661,3.13920439615203,0.689582698457183,4.3609687340765,7.32831969194857,17.9494914897648
"112","Anthony Prato",NA,8.67309872800303,3.04415218612082,0.469861807723935,0.525416480945534,14.0505323427871,15.4170481583523,6.29444852354782,1.73041590611239,7.57555643321143,12.7125292027933,43.8810855573046
